TAG,Date,Station ,Squid,Statolith,Sex,Mantle Length (cm),Length Overall (cm),Gladius length (cm)  ,Gut Contents,Notes (Nidamental Glands),Female Rating
20200914-2-1,9/14/2020,Fort Johnson,1,1,F,4.9,15,5.1,Fish,med nids,3
20200914-2-2,9/14/2020,Fort Johnson,2,1,F,3,8.5,3.1,,sed. Tiny nids,1
20200914-2-3,9/14/2020,Fort Johnson,3,1,F,4.3,14.5,4.5,fish,small nids,2
20200914-2-4,9/14/2020,Fort Johnson,4,1,M,3.5,8.5,3.5,,sed,
20200914-2-5,9/14/2020,Fort Johnson,5,1,F,4.5,12.9,4.6,shrimp,small nids,2
20200914-2-7,9/14/2020,Fort Johnson,7,1,F,4.2,11.5,4.2,,tiny nids,1
20200914-2-8,9/14/2020,Fort Johnson,8,1,F,4.6,13,4.5,HD,tiny nids,1
20200914-2-9,9/14/2020,Fort Johnson,9,1,I,2.6,8.5,2.6,,sed,
20200914-2-10,9/14/2020,Fort Johnson,10,1,M,4,11.2,3.9,shrimp,spermatophores,
20200914-2-11,9/14/2020,Fort Johnson,11,1,F,2.8,8.6,2.8,,tiny nids,1
20200914-2-13,9/14/2020,Fort Johnson,13,1,F,2.3,8.1,2.5,,,
20200914-2-14,9/14/2020,Fort Johnson,14,1,I,2.3,8.1,2.5,,,
20200914-2-15,9/14/2020,Fort Johnson,15,1,I,2.1,6.1,2,,sed,
20200914-2-16,9/14/2020,Fort Johnson,16,1,M,3.7,10.1,3.8,,"spermatophores, sed",
20200914-2-17,9/14/2020,Fort Johnson,17,1,F,4.2,11.6,4.1,,tiny nids,1
20200914-2-18,9/14/2020,Fort Johnson,18,1,M,3.1,10.1,3.1,,spermatophores,
20200914-2-19,9/14/2020,Fort Johnson,19,1,I,2.7,8.6,2.7,,,
20200914-2-20,9/14/2020,Fort Johnson,20,1,F,3.1,10.5,3.1,,,
20200914-2-22,9/14/2020,Fort Johnson,22,1,I,2.3,7.9,2.3,,,
20200914-2-23,9/14/2020,Fort Johnson,23,1,M,3.3,10,3.3,,spermatophores,
20200914-2-24,9/14/2020,Fort Johnson,24,1,F,2.9,8.8,3.3,,"tiny nids, sed",1
20200914-2-25,9/14/2020,Fort Johnson,25,1,F,2.6,7.8,2.7,,tiny nids,1
20200914-2-26,9/14/2020,Fort Johnson,26,1,I,3,6.5,3.1,,tentacles missing,
20200914-2-27,9/14/2020,Fort Johnson,27,1,I,2.9,9.1,2.7,,,
20200914-2-28,9/14/2020,Fort Johnson,28,1,M,3.4,10.6,3.3,,spermatophores,
20200914-2-29,9/14/2020,Fort Johnson,29,1,I,2.6,8.1,2.5,,sed,
20200914-2-30,9/14/2020,Fort Johnson,30,1,M,3.1,8.3,3,HD,,
20200914-2-31,9/14/2020,Fort Johnson,31,1,F,6.4,17.9,6.4,HD,large nids,4
20200914-2-32,9/14/2020,Fort Johnson,32,1,F,7,19,6.9,,"large nids, ovaries",4
20200914-2-33,9/14/2020,Fort Johnson,33,1,F,7,18,7,shrimp,"massive nids, developed ovaries",4
20200914-2-34,9/14/2020,Fort Johnson,34,1,F,7.1,18.9,6.9,fish,large nids,4
20200914-2-35,9/14/2020,Fort Johnson,35,1,F,6.5,18.9,6.7,HD,large nids,4
20200914-2-36,9/14/2020,Fort Johnson,36,1,F,6,17.7,6,HD,med nids,3
20200914-2-37,9/14/2020,Fort Johnson,37,1,F,6.7,18.2,6.6,HD,med nids,3
20200914-2-38,9/14/2020,Fort Johnson,38,1,F,5,14.6,4.7,,small nids,2
