Month,Date,Station ,Squid Tag,Squid Number,Sex,Mantle Length,Length Overall,Gladius Length 
1,1/7/2020,Anchorage,NA,NA,NA,NA,NA,NA
1,1/7/2020,Fort Johnson,20200107-2-1,1,F,5.6,19.7,5.7
1,1/7/2020,Fort Johnson,20200107-2-2,2,I,2.8,9.1,2.9
1,1/7/2020,Fort Johnson,20200107-2-3,3,M,2.9,7.5,3
1,1/7/2020,Fort Johnson,20200107-2-4,4,I,2.9,8.6,2.6
1,1/7/2020,Fort Johnson,20200107-2-5,5,I,2.5,6.9,2.3
1,1/7/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
1,1/7/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
2,2/19/2020,Anchorage,NA,NA,NA,NA,NA,NA
2,2/19/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
2,2/19/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
2,2/19/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
3,3/17/2020,Anchorage,NA,NA,NA,NA,NA,NA
3,3/17/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
3,3/17/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
3,3/17/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
4,4/22/2020,Anchorage,NA,NA,NA,NA,NA,NA
4,4/22/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
4,4/22/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
4,4/22/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
5,5/20/2020,Anchorage,NA,NA,NA,NA,NA,NA
5,5/21/2020,Fort Johnson,NA,NA,NA,NA,NA,NA
5,5/22/2020,Lower Ashley,NA,NA,NA,NA,NA,NA
5,5/23/2020,Upper Ashley,NA,NA,NA,NA,NA,NA
6,6/19/2020,Anchorage,20200619-1-1,1,M,3.5,10.8,3.5
6,6/19/2020,Anchorage,20200619-1-2,2,M,4.1,12.5,4.1
6,6/19/2020,Anchorage,20200619-1-3,3,F,8.4,21.8,8.3
