TAG,Month,Date,Station ,Squid,Sex,Gladius length  ,Gladius lengthmm,Core to Dome,Core to Rostrum,Age Count 1,Age Count 2,Age Count 3,Average Age Count,Birthdate
20200107-2-1,January,1/7/2020,Fort Johnson,1,F,5.7,57,428.216,578.98,,,,,
20200107-2-2,January,1/7/2020,Fort Johnson,2,I,2.9,29,330.503,497.478,,,,,
20200107-2-3,January,1/7/2020,Fort Johnson,3,M,3,30,327.056,500.83,,,,,
20200107-2-4,January,1/7/2020,Fort Johnson,4,I,2.6,26,337.763,488.015,,,,,
20200107-2-5,January,1/7/2020,Fort Johnson,5,I,2.3,23,306.306,413.814,,,,,
20200619-1-1,June,6/19/2020,Anchorage,1,M,3.5,35,308.496,510.858,,,,,
20200619-1-2,June,6/19/2020,Anchorage,2,M,4.1,41,364.868,555.861,,,,,
20200619-1-3,June,6/19/2020,Anchorage,3,F,8.3,83,481.308,718.323,,,,,
20200619-1-4,June,6/19/2020,Anchorage,4,M,3.1,31,304.328,467.163,,,,,
20200619-1-5,June,6/19/2020,Anchorage,5,F,5,50,350.95,541.66,,,,,
20200619-1-6,June,6/19/2020,Anchorage,6,F,4.4,44,345.035,526.526,,,,,
20200619-1-7,June,6/19/2020,Anchorage,7,I,3.6,36,314.382,477.197,,,,,
20200619-1-8,June,6/19/2020,Anchorage,8,F,5.7,57,360.836,551.595,,,,,
20200619-1-9,June,6/19/2020,Anchorage,9,F,4.4,44,361.035,534.411,,,,,
20200619-1-10,June,6/19/2020,Anchorage,10,M,4.5,45,349.412,557.29,,,,,
20200619-1-11,June,6/19/2020,Anchorage,11,I,3.4,34,307.167,494.368,,,,,
20200619-1-12,June,6/19/2020,Anchorage,12,M,4,40,317.278,494.16,,,,,
20200619-1-13,June,6/19/2020,Anchorage,13,I,3.3,33,286.231,455.739,,,,,
20200619-1-14,June,6/19/2020,Anchorage,14,I,3.6,36,330.073,486.946,,,,,
20200619-1-15,June,6/19/2020,Anchorage,15,M,4.6,46,342.576,533.042,,,,,
20200619-1-16,June,6/19/2020,Anchorage,16,F,4.9,49,350.243,561.279,,,,,
20200619-1-17,June,6/19/2020,Anchorage,17,M,3.5,35,312.35,512.818,,,,,
20200619-1-18,June,6/19/2020,Anchorage,18,M,3.9,39,306.666,512.746,,,,,
20200619-1-19,June,6/19/2020,Anchorage,19,M,3.9,39,325.695,518.947,,,,,
20200619-1-20,June,6/19/2020,Anchorage,20,I,3.1,31,324.796,466.289,,,,,
20200619-1-21,June,6/19/2020,Anchorage,21,I,3.1,31,314.027,468.241,,,,,
20200619-1-22,June,6/19/2020,Anchorage,22,M,3.5,35,317.587,509.776,,,,,
20200619-1-23,June,6/19/2020,Anchorage,23,I,3.3,33,300.851,498.222,,,,,
20200619-1-24,June,6/19/2020,Anchorage,24,I,3.6,36,302.136,475.336,,,,,
20200619-2-1,June,6/19/2020,Fort Johnson,1,M,3.3,33,312.397,465.891,,,,,
20200619-2-2,June,6/19/2020,Fort Johnson,2,M,3.3,33,322.082,482.662,,,,,
20200619-2-3,June,6/19/2020,Fort Johnson,3,F,5.1,51,368.972,466.39,,,,,
20200619-2-4,June,6/19/2020,Fort Johnson,4,I,3.2,32,307.613,461.766,,,,,
20200619-2-5,June,6/19/2020,Fort Johnson,5,M,4.5,45,357.618,519.143,,,,,
20200619-2-6,June,6/19/2020,Fort Johnson,6,I,3.3,33,315.072,477.74,,,,,
20200619-2-7,June,6/19/2020,Fort Johnson,7,I,2.2,22,277.944,398.581,,,,,
20200619-2-8,June,6/19/2020,Fort Johnson,8,F,5,50,360.689,559.378,,,,,
20200619-2-9,June,6/19/2020,Fort Johnson,9,I,2.2,22,256.855,414.248,,,,,
20200619-2-10,June,6/19/2020,Fort Johnson,10,I,2.4,24,280.909,437.061,,,,,
20200619-2-11,June,6/19/2020,Fort Johnson,11,I,2.8,28,296.823,417.451,,,,,
20200619-2-12,June,6/19/2020,Fort Johnson,12,M,4.6,46,356.491,553.694,,,,,
20200619-2-13,June,6/19/2020,Fort Johnson,13,I,2.8,28,293.728,446.524,,,,,
20200619-2-14,June,6/19/2020,Fort Johnson,14,I,2.8,28,307.894,467.232,,,,,
